analysis,group,method,n_bugs,hit_at_1,hit_at_5,hit_at_10,hit_at_20,mrr,map,provenance
component_filtering,FULL,finetuned_epoch3,115,0.1652,0.3304,0.4261,0.5652,0.2557,0.1737,local_artifact
component_filtering,COMPONENT_FILTERED,finetuned_epoch3,115,0.0522,0.1130,0.1391,0.1826,0.0834,0.0652,local_artifact
cross_project,cassandra_test_trained_on,finetuned_epoch3,128,0.1641,0.3516,0.4531,0.5781,0.2646,0.1687,colab_executed_only
cross_project,hbase_test_zero_shot,finetuned_epoch3,136,0.1544,0.3088,0.4265,0.5147,0.2313,0.1653,colab_executed_only
cross_project,spark_test_zero_shot,finetuned_epoch3,332,0.1446,0.3012,0.3916,0.4849,0.2319,0.1827,colab_executed_only
bug_report_wording,identifier_rich,tfidf,95,0.3368,0.5579,0.6842,0.8000,0.4504,0.3426,local_artifact
bug_report_wording,plain_prose,tfidf,33,0.1818,0.4545,0.6061,0.7576,0.2962,0.2185,local_artifact
bug_report_wording,identifier_rich,finetuned,95,0.1895,0.3684,0.4316,0.5684,0.2784,0.1678,local_artifact
bug_report_wording,plain_prose,finetuned,33,0.0909,0.3030,0.5152,0.6061,0.2248,0.1714,local_artifact
bug_report_wording,identifier_rich,hybrid,95,0.3789,0.6632,0.7263,0.8421,0.5071,0.3882,local_artifact
bug_report_wording,plain_prose,hybrid,33,0.2121,0.6364,0.6970,0.8182,0.3784,0.3042,local_artifact
single_vs_multi_gold,multi_gold,tfidf,72,0.2778,0.5278,0.6806,0.7917,0.4009,0.2230,local_artifact
single_vs_multi_gold,single_gold,tfidf,56,0.3214,0.5357,0.6429,0.7857,0.4232,0.4232,local_artifact
single_vs_multi_gold,multi_gold,finetuned,72,0.1944,0.4306,0.5556,0.6667,0.3187,0.1482,local_artifact
single_vs_multi_gold,single_gold,finetuned,56,0.1250,0.2500,0.3214,0.4643,0.1951,0.1951,local_artifact
single_vs_multi_gold,multi_gold,hybrid,72,0.3194,0.6250,0.6944,0.8333,0.4544,0.2636,local_artifact
single_vs_multi_gold,single_gold,hybrid,56,0.3571,0.6964,0.7500,0.8393,0.4990,0.4990,local_artifact
